Time,Temperature (°C),Humidity (%),Status
15:31:06,30.0,48.0,FAILURE
15:31:07,30.0,48.0,FAILURE
15:31:10,30.0,48.0,FAILURE
15:31:11,30.0,48.0,FAILURE
15:31:14,30.0,48.0,FAILURE
15:31:15,30.0,48.0,FAILURE
15:31:18,30.0,48.0,FAILURE
15:31:19,30.0,48.0,FAILURE
15:31:22,30.0,48.0,FAILURE
15:31:23,30.0,48.0,FAILURE
15:31:26,30.0,48.0,FAILURE
15:31:27,30.0,48.0,FAILURE
15:31:30,30.0,48.0,FAILURE
15:31:31,30.0,48.0,FAILURE
15:31:34,30.0,48.0,FAILURE
15:31:35,30.0,48.0,FAILURE
15:31:38,30.0,48.0,FAILURE
15:31:39,30.0,48.0,FAILURE
15:31:42,30.0,48.0,FAILURE
15:31:43,30.0,48.0,FAILURE
15:31:46,30.0,48.0,FAILURE
15:31:47,30.0,48.0,FAILURE
15:31:50,30.0,48.0,FAILURE
15:31:52,30.0,48.0,FAILURE
15:31:55,30.0,48.0,FAILURE
15:31:56,30.0,48.0,FAILURE
15:31:59,30.0,48.0,FAILURE
15:32:00,30.0,48.0,FAILURE
15:32:03,30.0,48.0,FAILURE
15:32:04,30.0,48.0,FAILURE
15:32:07,30.0,48.0,FAILURE
15:32:08,30.0,48.0,FAILURE
15:32:11,30.0,48.0,FAILURE
15:32:12,30.0,48.0,FAILURE
15:32:15,30.0,48.0,FAILURE
15:32:16,30.0,48.0,FAILURE
15:32:19,30.0,49.0,FAILURE
15:32:20,30.0,49.0,FAILURE
15:32:23,30.1,50.0,FAILURE
15:32:24,30.1,51.0,FAILURE
15:32:27,30.2,53.0,FAILURE
15:32:28,30.3,54.0,FAILURE
15:32:31,30.3,55.0,FAILURE
15:32:32,30.4,55.0,FAILURE
15:32:35,30.5,56.0,FAILURE
15:32:36,30.6,56.0,FAILURE
15:32:39,30.7,57.0,FAILURE
15:32:40,30.8,57.0,FAILURE
15:32:43,30.9,57.0,FAILURE
15:32:44,31.0,56.0,FAILURE
15:32:47,31.0,55.0,FAILURE
15:32:48,31.1,54.0,FAILURE
15:32:51,31.1,53.0,FAILURE
15:32:52,31.2,52.0,FAILURE
15:32:55,31.2,51.0,FAILURE
15:32:56,31.2,50.0,FAILURE
15:32:59,31.2,49.0,FAILURE
15:33:00,31.2,49.0,FAILURE
15:33:03,31.2,48.0,FAILURE
15:33:04,31.2,48.0,FAILURE
15:33:08,31.2,48.0,FAILURE
15:33:09,31.2,48.0,FAILURE
15:33:12,31.2,47.0,FAILURE
15:33:13,31.2,47.0,FAILURE
15:33:16,31.2,47.0,FAILURE
15:33:17,31.2,47.0,FAILURE
15:33:20,31.1,47.0,FAILURE
15:33:21,31.1,47.0,FAILURE
15:33:24,31.1,47.0,FAILURE
15:33:25,31.1,47.0,FAILURE
15:33:28,31.1,47.0,FAILURE
15:33:29,31.1,47.0,FAILURE
15:33:32,31.0,47.0,FAILURE
15:33:33,31.0,47.0,FAILURE
15:33:36,31.0,47.0,FAILURE
15:33:37,31.0,47.0,FAILURE
15:33:40,31.0,47.0,FAILURE
15:33:41,30.9,46.0,FAILURE
15:33:44,30.9,46.0,FAILURE
15:33:45,30.9,46.0,FAILURE
15:33:48,30.9,46.0,FAILURE
15:33:49,30.9,46.0,FAILURE
15:33:52,30.9,46.0,FAILURE
15:33:53,30.8,46.0,FAILURE
15:33:56,30.8,46.0,FAILURE
15:33:57,30.8,46.0,FAILURE
15:34:00,30.8,47.0,FAILURE
15:34:01,30.8,47.0,FAILURE
15:34:04,30.8,47.0,FAILURE
15:34:05,30.8,47.0,FAILURE
15:34:08,30.8,47.0,FAILURE
15:34:09,30.7,47.0,FAILURE
15:34:12,30.7,47.0,FAILURE
15:34:13,30.7,47.0,FAILURE
15:34:16,30.7,47.0,FAILURE
15:34:17,30.7,47.0,FAILURE
15:34:20,30.7,47.0,FAILURE
15:34:22,30.7,47.0,FAILURE
15:34:25,30.6,47.0,FAILURE
15:34:26,30.6,47.0,FAILURE
15:34:29,30.6,47.0,FAILURE
15:34:30,30.6,47.0,FAILURE
15:34:33,30.6,47.0,FAILURE
15:34:34,30.6,47.0,FAILURE
15:34:37,30.6,47.0,FAILURE
15:34:38,30.6,47.0,FAILURE
15:34:41,30.5,47.0,FAILURE
15:34:42,30.5,46.0,FAILURE
15:34:45,30.5,46.0,FAILURE
15:34:46,30.5,46.0,FAILURE
15:34:49,30.5,46.0,FAILURE
15:34:50,30.5,47.0,FAILURE
15:34:53,30.5,47.0,FAILURE
15:34:54,30.5,47.0,FAILURE
15:34:57,30.4,47.0,FAILURE
15:34:58,30.4,47.0,FAILURE
15:35:01,30.4,47.0,FAILURE
15:35:02,30.4,47.0,FAILURE
15:35:05,30.4,47.0,FAILURE
15:35:06,30.4,47.0,FAILURE
15:35:09,30.4,47.0,FAILURE
15:35:10,30.4,47.0,FAILURE
15:35:13,30.4,47.0,FAILURE
15:35:14,30.4,48.0,FAILURE
15:35:17,30.4,48.0,FAILURE
15:35:18,30.3,48.0,FAILURE
15:35:21,30.3,48.0,FAILURE
15:35:22,30.3,47.0,FAILURE
15:35:25,30.3,47.0,FAILURE
15:35:26,30.3,47.0,FAILURE
15:35:29,30.3,47.0,FAILURE
15:35:30,30.3,47.0,FAILURE
15:35:33,30.3,47.0,FAILURE
15:35:34,30.3,47.0,FAILURE
15:35:38,30.3,47.0,FAILURE
15:35:39,30.3,47.0,FAILURE
15:35:42,30.3,47.0,FAILURE
15:35:43,30.3,47.0,FAILURE
15:35:46,30.3,47.0,FAILURE
15:35:47,30.2,47.0,FAILURE
15:35:50,30.2,47.0,FAILURE
15:35:51,30.2,47.0,FAILURE
15:35:54,30.2,47.0,FAILURE
15:35:55,30.2,47.0,FAILURE
15:35:58,30.2,47.0,FAILURE
15:35:59,30.2,47.0,FAILURE
15:36:02,30.2,47.0,FAILURE
15:36:03,30.2,47.0,FAILURE
15:36:06,30.2,47.0,FAILURE
15:36:07,30.2,47.0,FAILURE
15:36:10,30.2,48.0,FAILURE
15:36:11,30.2,48.0,FAILURE
15:36:14,30.2,48.0,FAILURE
